POS,TIME,PTS,PJ,JG,E,D,GP,GC,SG,ANO
1,Primeiro De Agosto,56,26,16,8,2,34,15,19,2006
2,Petro De Luanda,46,26,12,10,4,32,17,15,2006
3,Interclube,44,26,12,8,6,36,21,15,2006
4,Wiliete Fc,39,26,11,6,9,31,28,3,2006
5,Asa Luanda,36,26,10,6,10,31,26,5,2006
6,Desportivo Da Huíla,36,26,10,6,10,24,23,1,2006
7,Sagrada Esperança,36,26,9,9,8,17,16,1,2006
8,Luanda E Benfica,32,26,10,2,14,23,28,-5,2006
9,Académica Do Soyo,32,26,8,8,10,19,27,-8,2006
10,Fc Primeiro De Maio,31,26,7,10,9,21,23,-2,2006
11,Petroleos De Namibe,31,26,6,13,7,22,25,-3,2006
12,Bravos Do Maquis,30,26,6,12,8,14,21,-7,2006
13,Progresso Sambizanga,24,26,5,9,12,20,31,-11,2006
14,Sporting De Cabinda,16,26,3,7,16,15,38,-23,2006
1,Interclube,55,26,16,7,3,32,17,15,2007
2,Primeiro De Agosto,54,26,16,6,4,42,14,28,2007
3,Petro De Luanda,50,26,15,5,6,43,25,18,2007
4,Wiliete Fc,41,26,12,5,9,33,25,8,2007
5,Sagrada Esperança,40,26,10,10,6,36,26,10,2007
6,Asa Luanda,40,26,10,10,6,27,20,7,2007
7,Petro Huambo,39,26,11,6,9,26,20,6,2007
8,Desportivo Da Huíla,38,26,10,8,8,26,24,2,2007
9,Fc Primeiro De Maio,36,26,9,9,8,23,23,0,2007
10,Luanda E Benfica,33,26,8,9,9,20,23,-3,2007
11,Santos Fc,27,26,8,3,15,23,34,-11,2007
12,Académica Do Soyo,23,26,5,8,13,15,29,-14,2007
13,Petroleos De Namibe,16,26,4,4,18,20,41,-21,2007
14,Juventude Moxico,6,26,0,6,20,8,53,-45,2007
1,Petro De Luanda,58,26,17,7,2,47,18,29,2008
2,Primeiro De Agosto,49,26,13,10,3,37,16,21,2008
3,Recreativo Do Libolo,44,26,12,8,6,29,24,5,2008
4,Santos Fc,39,26,10,9,7,28,23,5,2008
5,Luanda E Benfica,37,26,10,7,9,33,28,5,2008
6,Fc Primeiro De Maio,35,26,9,8,9,18,25,-7,2008
7,Asa Luanda,33,26,8,9,9,24,25,-1,2008
8,Kabuscorp Palanca,31,26,8,7,11,25,26,-1,2008
9,Desportivo Da Huíla,31,26,6,13,7,23,26,-3,2008
10,Interclube,31,26,8,7,11,20,29,-9,2008
11,Bravos Do Maquis,29,26,9,2,15,29,32,-3,2008
12,Sagrada Esperança,28,26,6,10,10,20,27,-7,2008
13,Petro Huambo,24,26,6,6,14,21,33,-12,2008
14,Wiliete Fc,21,26,4,9,13,14,36,-22,2008
1,Petro De Luanda,56,26,17,5,4,44,21,23,2009
2,Recreativo Do Libolo,48,26,14,6,6,48,29,19,2009
3,Luanda E Benfica,47,26,14,5,7,42,32,10,2009
4,Primeiro De Agosto,45,26,13,6,7,47,30,17,2009
5,Académica Do Soyo,39,25,12,3,10,33,34,-1,2009
6,Santos Fc,36,26,9,9,8,29,29,0,2009
7,Asa Luanda,35,26,9,8,9,34,28,6,2009
8,Interclube,33,26,8,9,9,33,26,7,2009
